时间,直调负荷(MW),联络线受电负荷(MW),风电总加(MW),光伏总加(MW),地方电厂发电总加(MW),非市场化核电总加(MW),自备机组总加(MW),试验机组总加(MW),抽蓄(MW)
2023-10-01 13:45:00+08,38455.98,9348.756,1457.5,8400.53,6820.779,1330.013,4012.598,0,-1430.2
2023-10-01 14:00:00+08,38926.32,9680.186,1483.49,8026.65,6750.249,1331.156,4010.643,0,-1423.6
2023-10-01 14:15:00+08,39983.738,10158.346,1521.54,7636.06,6838.252,1329.749,4067.124,0,-1158.7
2023-10-01 14:30:00+08,40616.492,10772.159,1485.54,7128.45,6844.459,1329.787,4081.269,0,-1156.8
2023-10-01 14:45:00+08,41646.859,11703.652,1457.44,6500.96,6863.833,1330.015,4098.762,0,-1145.3
2023-10-01 15:00:00+08,42748.57,12412.736,1289.93,5960.23,6882.113,1329.254,4103.804,0,-1145.5
2023-10-01 15:15:00+08,43653.719,13440.013,1165.56,5441.19,6857.982,1329.368,4099.412,0,-1136.8
2023-10-01 15:30:00+08,45021.016,13660.284,1095.89,4647.38,6915.68,1330.355,4107.742,0,-848.0
2023-10-01 15:45:00+08,45902.996,14627.088,1050.04,3766.41,6912.467,1333.058,4134.855,0,-845.6
2023-10-01 16:00:00+08,46999.109,14367.728,1007.36,3241.5,6911.87,1330.508,4144.232,0,-565.4
2023-10-01 16:15:00+08,48635.039,14886.872,1004.87,2544.08,6914.473,1330.927,4151.881,0,-280.1
2023-10-01 16:30:00+08,50370.691,15126.996,1025.6,1844.49,6941.807,1330.661,4165.089,0,-279.4
2023-10-01 16:45:00+08,52169.672,15638.869,1027.03,1278.74,6927.102,1329.367,4153.68,0,0.0
2023-10-01 17:00:00+08,53382.551,16012.564,1156.42,805.08,6923.999,1329.787,4181.046,0,482.1
2023-10-01 17:15:00+08,54682.43,16388.863,1258.16,430.68,6946.136,1328.874,4193.783,0,631.1
2023-10-01 17:30:00+08,55767.434,16180.213,1294.1,156.12,6975.469,1329.483,4205.289,0,842.8
2023-10-01 17:45:00+08,56745.703,16289.225,1326.4,7.32,7003.878,1328.911,4229.268,0,958.2
2023-10-01 18:00:00+08,57263.441,16259.339,1363.47,-9.81,7004.384,1328.075,4229.534,0,1450.5
2023-10-01 18:15:00+08,57841.512,16180.891,1434.23,-6.06,6996.754,1326.972,4232.898,0,1723.1
2023-10-01 18:30:00+08,57671.254,16323.122,1432.34,-5.79,6975.316,1327.694,4234.545,0,1951.2
2023-10-01 18:45:00+08,56816.148,16323.275,1408.7,-5.13,6975.705,1327.582,4244.925,0,1945.9
2023-10-01 19:00:00+08,56044.895,16369.594,1320.04,-5.35,6972.855,1328.648,4251.584,0,1942.5
2023-10-01 19:15:00+08,55456.691,16162.576,1259.13,-5.15,6993.069,1325.795,4241.614,0,1942.3
2023-10-01 19:30:00+08,55143.746,16392.115,1311.34,-5.19,7027.78,1327.164,4243.951,0,1942.9
2023-10-01 19:45:00+08,55094.523,16495.744,1348.59,-5.35,7010.397,1326.441,4237.31,0,1943.4
2023-10-01 20:00:00+08,54478.016,16276.552,1348.11,-5.24,6988.745,1324.653,4242.254,0,1942.2
2023-10-01 20:15:00+08,54709.363,15881.997,1401.51,-5.05,6999.494,1325.224,4229.687,0,1942.0
2023-10-01 20:30:00+08,54392.551,15442.667,1473.96,-4.95,6999.28,1324.921,4212.233,0,1945.4
2023-10-01 20:45:00+08,54175.629,15020.999,1453.15,-5.37,7033.94,1324.921,4198.024,0,1944.1
2023-10-01 21:00:00+08,53935.551,14425.53,1440.3,-4.91,7043.6,1324.16,4182.292,0,1941.7
2023-10-01 21:15:00+08,54033.129,14604.27,1393.81,-4.73,7062.316,1322.22,4179.68,0,1943.3
2023-10-01 21:30:00+08,53599.82,14591.46,1372.72,-5.03,7070.704,1324.578,4184.115,0,1759.2
2023-10-01 21:45:00+08,52956.879,14258.816,1307.37,-5.03,7069.161,1322.83,4170.189,0,1645.7
2023-10-01 22:00:00+08,52522.102,14293.185,1251.17,-4.67,7085.507,1325.644,4161.546,0,1437.1
2023-10-01 22:15:00+08,51629.676,13648.531,1245.62,-4.7,7056.952,1323.667,4164.597,0,1163.1
2023-10-01 22:30:00+08,51074.938,12931.311,1197.06,-5.02,7050.782,1323.933,4183.438,0,1158.6
2023-10-01 22:45:00+08,50315.387,11653.763,1225.6,-4.75,7059.322,1323.361,4161.147,0,1163.8
2023-10-01 23:00:00+08,49507.109,10271.58,1373.49,-5.17,7052.615,1322.601,4148.792,0,1030.2
2023-10-01 23:15:00+08,49157.797,9626.393,1526.35,1.1,7017.297,1321.308,4118.438,0,1026.3
2023-10-01 23:30:00+08,48283.785,9847.506,1557.41,-4.89,6980.133,1320.928,4059.276,0,873.3
2023-10-01 23:45:00+08,47761.172,9884.061,1643.63,-4.73,6961.768,1322.031,4055.103,0,724.8
2023-10-02 00:00:00+08,47291.02,9881.181,1635.05,-5.15,6954.256,1323.439,4045.556,0,331.0
2023-10-02 00:15:00+08,47148.969,9620.509,1622.15,-4.73,6918.129,1324.124,4042.698,0,181.0
2023-10-02 00:30:00+08,46515.957,9915.774,1660.53,-4.63,6962.467,1321.766,4035.604,0,0.0
2023-10-02 00:45:00+08,46266.227,9519.337,1689.77,-4.63,6997.554,1322.298,4024.38,0,0.0
2023-10-02 01:00:00+08,45896.934,9725.696,1683.12,1.33,6989.869,1322.641,4029.672,0,0.0
2023-10-02 01:15:00+08,45726.836,9683.334,1685.13,-4.55,6990.494,1319.599,4039.747,0,0.0
2023-10-02 01:30:00+08,45860.34,9992.172,1726.09,-4.65,6981.494,1319.484,4031.233,0,0.0
2023-10-02 01:45:00+08,45925.949,9858.992,1672.86,-4.89,6960.609,1319.446,4032.802,0,0.0
2023-10-02 02:00:00+08,45435.93,9695.518,1678.94,-5.12,6978.191,1320.283,3999.346,0,0.0
2023-10-02 02:15:00+08,45513.254,9835.189,1568.97,-5.03,6965.14,1320.817,3990.027,0,0.0
2023-10-02 02:30:00+08,45116.137,9697.106,1612.43,-4.69,6970.419,1318.724,3976.222,0,0.0
2023-10-02 02:45:00+08,44982.988,9941.398,1574.16,-4.67,6945.186,1321.121,3974.506,0,0.0
2023-10-02 03:00:00+08,44879.336,9701.428,1473.65,-5.19,6965.593,1319.028,4019.104,0,0.0
2023-10-02 03:15:00+08,44797.355,9805.167,1413.33,-4.89,6959.899,1318.611,4018.367,0,0.0
2023-10-02 03:30:00+08,44785.453,9818.191,1413.41,-4.51,6962.293,1320.323,4022.347,0,0.0
2023-10-02 03:45:00+08,44726.395,9686.418,1447.86,-4.8,6965.211,1319.143,4034.298,0,0.0
2023-10-02 04:00:00+08,44899.629,9642.957,1473.87,-4.65,6977.778,1318.954,4037.363,0,0.0
2023-10-02 04:15:00+08,45263.965,9852.347,1530.16,-4.66,6962.664,1318.497,4037.755,0,0.0
