时间,华北来电(MW),银东直流(MW),鲁固直流(MW),昭沂直流(MW)
2023-10-16 23:45:00+08,3421.283,2531.494,4915.466,5250.745
2023-10-17 00:00:00+08,3767.974,2531.494,4925.842,5250.16
2023-10-17 00:15:00+08,3205.151,2541.016,5089.111,5298.538
2023-10-17 00:30:00+08,3017.049,2540.283,5307.007,5303.608
2023-10-17 00:45:00+08,2864.556,2539.795,5500.183,5311.707
2023-10-17 01:00:00+08,2655.247,2536.377,5552.368,5319.347
2023-10-17 01:15:00+08,2691.602,2533.447,5554.81,5328.587
2023-10-17 01:30:00+08,2874.925,2527.588,5547.18,5337.666
2023-10-17 01:45:00+08,2674.98,2520.996,5545.959,5349.254
2023-10-17 02:00:00+08,2734.082,2518.066,5551.758,5358.569
2023-10-17 02:15:00+08,2571.455,2508.789,5529.48,5372.858
2023-10-17 02:30:00+08,2826.258,2509.033,5527.344,5372.046
2023-10-17 02:45:00+08,2652.164,2512.207,5526.123,5377.094
2023-10-17 03:00:00+08,2793.28,2510.498,5528.87,5375.834
2023-10-17 03:15:00+08,2637.465,2506.836,5513.0,5379.907
2023-10-17 03:30:00+08,2807.477,2524.17,5516.968,5381.491
2023-10-17 03:45:00+08,2606.934,2508.301,5527.649,5380.931
2023-10-17 04:00:00+08,2647.563,2556.152,5520.325,5377.851
2023-10-17 04:15:00+08,2648.015,2575.684,5516.968,5377.879
2023-10-17 04:30:00+08,2705.653,2592.285,5512.39,5379.566
2023-10-17 04:45:00+08,2706.299,2579.102,5520.325,5380.272
2023-10-17 05:00:00+08,2572.014,2593.994,5578.003,5380.716
2023-10-17 05:15:00+08,2475.5,2614.258,5564.27,5380.006
2023-10-17 05:30:00+08,2972.657,2847.9,5519.104,5773.892
2023-10-17 05:45:00+08,3376.426,3004.883,5571.899,6167.405
2023-10-17 06:00:00+08,3924.422,3241.699,5561.829,6561.373
2023-10-17 06:15:00+08,3831.751,3441.406,5918.579,6960.618
2023-10-17 06:30:00+08,4135.295,3445.068,5923.462,6961.153
2023-10-17 06:45:00+08,3940.411,3450.195,5928.955,6964.048
2023-10-17 07:00:00+08,4111.508,3450.928,5925.903,6966.479
2023-10-17 07:15:00+08,4757.038,3463.867,5919.8,6967.986
2023-10-17 07:30:00+08,5216.381,3471.191,5928.04,6976.499
2023-10-17 07:45:00+08,5607.399,3477.783,5919.495,6983.521
2023-10-17 08:00:00+08,6029.998,3482.422,5918.579,6991.194
2023-10-17 08:15:00+08,6538.646,3496.338,5948.486,6999.406
2023-10-17 08:30:00+08,6880.12,3505.859,5888.672,7008.333
2023-10-17 08:45:00+08,7545.63,3703.369,5779.114,7016.618
2023-10-17 09:00:00+08,7877.466,3711.67,5741.577,7025.795
2023-10-17 09:15:00+08,7875.385,3686.768,5713.501,7027.167
2023-10-17 09:30:00+08,7628.87,3666.748,5711.67,6834.761
2023-10-17 09:45:00+08,7713.841,3553.955,5718.079,6638.012
2023-10-17 10:00:00+08,7977.831,3552.49,5723.572,6435.725
2023-10-17 10:15:00+08,8126.695,3527.588,5669.861,7073.984
2023-10-17 10:30:00+08,7263.966,3318.604,5505.066,6645.408
2023-10-17 10:45:00+08,6693.221,3105.225,5358.582,6117.715
2023-10-17 11:00:00+08,6949.248,2893.311,4854.736,5487.409
2023-10-17 11:15:00+08,6569.444,2765.137,4257.507,4875.557
2023-10-17 11:30:00+08,6215.738,2682.861,4259.338,4875.007
2023-10-17 11:45:00+08,5978.23,2714.6,4259.949,4877.84
2023-10-17 12:00:00+08,5115.026,2618.408,4251.709,4877.303
2023-10-17 12:15:00+08,5211.829,2618.896,4226.99,4878.32
2023-10-17 12:30:00+08,5354.061,2619.385,4223.328,4876.694
2023-10-17 12:45:00+08,5198.081,2616.943,4225.159,4875.22
2023-10-17 13:00:00+08,5239.737,2618.652,4226.379,4873.656
2023-10-17 13:15:00+08,5081.823,2635.742,4226.074,4869.531
2023-10-17 13:30:00+08,5145.482,2896.973,4648.743,5229.563
2023-10-17 13:45:00+08,5214.732,3149.17,5068.665,5590.824
2023-10-17 14:00:00+08,5366.386,3378.906,5486.755,5948.831
2023-10-17 14:15:00+08,5228.251,3609.131,5663.147,7068.912
2023-10-17 14:30:00+08,5421.523,3610.107,5662.537,7065.385
2023-10-17 14:45:00+08,5672.382,3611.084,5664.063,7053.812
2023-10-17 15:00:00+08,5552.307,3605.469,5661.926,7049.809
2023-10-17 15:15:00+08,5667.622,3603.516,5667.114,7035.877
2023-10-17 15:30:00+08,5863.43,3600.586,5721.436,7028.769
2023-10-17 15:45:00+08,5492.198,3588.867,5776.978,7015.723
2023-10-17 16:00:00+08,5430.965,3584.717,5835.571,7005.062
2023-10-17 16:15:00+08,6240.345,3554.688,5953.369,6992.581
2023-10-17 16:30:00+08,6528.512,3556.641,5959.778,6946.802
2023-10-17 16:45:00+08,7196.193,3559.57,5982.666,6945.384
2023-10-17 17:00:00+08,7748.022,3558.594,5989.075,6910.88
2023-10-17 17:15:00+08,7820.385,3610.107,5931.091,6913.05
2023-10-17 17:30:00+08,7960.978,3543.945,5980.225,6913.84
2023-10-17 17:45:00+08,7916.36,3525.879,5982.056,6915.98
2023-10-17 18:00:00+08,7766.069,3510.254,5976.868,6913.635
2023-10-17 18:15:00+08,7797.634,3487.061,5894.775,6913.972
2023-10-17 18:30:00+08,8008.827,3488.281,5892.944,6912.843
2023-10-17 18:45:00+08,8174.869,3488.281,5894.775,6913.617
2023-10-17 19:00:00+08,8225.48,3486.816,5894.165,6908.919
2023-10-17 19:15:00+08,7972.763,3486.816,5892.029,6915.91
2023-10-17 19:30:00+08,7957.928,3485.596,5892.029,6913.808
2023-10-17 19:45:00+08,8090.785,3485.596,5892.639,6911.391
2023-10-17 20:00:00+08,7918.651,3487.793,5894.165,6913.739
2023-10-17 20:15:00+08,7323.767,3487.793,5925.293,6915.113
2023-10-17 20:30:00+08,6994.646,3485.84,5921.936,6919.789
2023-10-17 20:45:00+08,6314.383,3484.863,5921.936,6920.849
2023-10-17 21:00:00+08,6187.625,3483.643,5927.429,6925.979
2023-10-17 21:15:00+08,5972.768,3479.736,5950.928,6932.898
2023-10-17 21:30:00+08,5862.165,3478.76,5938.11,6932.259
2023-10-17 21:45:00+08,5751.57,3479.004,5966.797,6931.482
2023-10-17 22:00:00+08,5781.911,3478.76,5944.214,6933.802
2023-10-17 22:15:00+08,5278.814,3479.004,6040.955,6932.886
2023-10-17 22:30:00+08,4686.753,3241.699,5685.425,6513.328
2023-10-17 22:45:00+08,3838.977,2976.318,5676.27,6093.1
2023-10-17 23:00:00+08,3356.018,2770.752,5549.011,5672.804
2023-10-17 23:15:00+08,2863.002,2532.227,5306.702,5250.601
2023-10-17 23:30:00+08,3278.449,2531.982,5292.358,5251.787
2023-10-17 23:45:00+08,2913.965,2533.936,5450.134,5251.629
2023-10-18 00:00:00+08,3189.485,2532.715,5196.228,5251.306
2023-10-18 00:15:00+08,2507.13,2541.26,5544.128,5297.284
2023-10-18 00:30:00+08,2807.253,2540.039,5529.175,5306.096
2023-10-18 00:45:00+08,2849.134,2537.598,5532.837,5309.737
2023-10-18 01:00:00+08,2933.149,2535.889,5533.142,5318.443
2023-10-18 01:15:00+08,2732.01,2529.541,5530.701,5327.696
2023-10-18 01:30:00+08,2699.871,2527.588,5464.783,5338.7
2023-10-18 01:45:00+08,3119.66,2521.973,5430.908,5348.308
2023-10-18 02:00:00+08,3273.176,2519.775,5144.653,5358.139
2023-10-18 02:15:00+08,3204.843,2508.057,5074.158,5371.05
2023-10-18 02:30:00+08,3329.919,2508.057,5061.951,5373.383
2023-10-18 02:45:00+08,3017.577,2509.033,5034.79,5376.046
2023-10-18 03:00:00+08,3113.094,2507.324,5034.18,5375.399
2023-10-18 03:15:00+08,3183.108,2510.01,4818.42,5380.487
2023-10-18 03:30:00+08,3617.512,2508.545,4885.254,5380.191
2023-10-18 03:45:00+08,3392.759,2508.057,4790.649,5380.116
2023-10-18 04:00:00+08,3443.453,2510.254,4748.84,5379.108
2023-10-18 04:15:00+08,3500.611,2508.789,4801.941,5380.078
2023-10-18 04:30:00+08,3570.833,2509.766,4759.216,5380.901
2023-10-18 04:45:00+08,3592.291,2508.057,4789.734,5379.204
2023-10-18 05:00:00+08,3360.829,2509.766,4910.278,5379.425
2023-10-18 05:15:00+08,3108.685,2510.01,5039.673,5381.407
2023-10-18 05:30:00+08,3519.486,2741.211,5318.604,5774.153
2023-10-18 05:45:00+08,3718.006,2971.191,5446.777,6167.646
2023-10-18 06:00:00+08,3955.101,3205.322,5518.494,6563.117
2023-10-18 06:15:00+08,4152.468,3441.65,5915.527,6961.369
2023-10-18 06:30:00+08,3800.815,3445.557,5913.391,6964.507
2023-10-18 06:45:00+08,4014.306,3449.219,5917.358,6965.419
2023-10-18 07:00:00+08,4325.314,3452.637,5917.053,6967.65
2023-10-18 07:15:00+08,4610.007,3465.088,5916.748,6967.005
2023-10-18 07:30:00+08,5218.2,3471.68,5917.664,6975.536
2023-10-18 07:45:00+08,5606.563,3478.027,5916.138,6981.935
2023-10-18 08:00:00+08,5918.852,3489.014,5917.053,6990.893
2023-10-18 08:15:00+08,6323.781,3493.896,5914.612,7000.298
2023-10-18 08:30:00+08,7213.422,3507.08,5859.68,7009.674
2023-10-18 08:45:00+08,7609.819,3516.357,5812.378,7017.297
2023-10-18 09:00:00+08,7987.628,3528.564,5746.155,7025.649
2023-10-18 09:15:00+08,8043.214,3540.283,5715.027,7035.853
2023-10-18 09:30:00+08,7836.322,3530.029,5675.659,6836.071
2023-10-18 09:45:00+08,8454.069,3521.973,5397.644,6638.07
2023-10-18 10:00:00+08,8899.115,3514.648,5178.528,6436.047
2023-10-18 10:15:00+08,9353.348,3556.885,5131.836,7075.423
2023-10-18 10:30:00+08,10111.604,3322.754,4985.962,6440.231
2023-10-18 10:45:00+08,9476.024,3089.844,4560.242,5812.781
2023-10-18 11:00:00+08,9530.658,2857.178,4724.121,5183.653
2023-10-18 11:15:00+08,9725.019,2677.49,4126.282,4874.268
2023-10-18 11:30:00+08,10175.433,2678.955,4124.146,4876.053
2023-10-18 11:45:00+08,10784.131,2678.955,4128.418,4877.165
2023-10-18 12:00:00+08,10737.243,2685.791,4024.963,4878.157
2023-10-18 12:15:00+08,8755.375,2926.025,4017.944,4878.667
2023-10-18 12:30:00+08,9706.182,2839.6,4018.25,4876.557
2023-10-18 12:45:00+08,10303.77,3022.461,4019.47,4875.821
2023-10-18 13:00:00+08,10481.998,3047.363,4017.029,4873.383
2023-10-18 13:15:00+08,10406.601,3036.865,4017.944,4869.345
2023-10-18 13:30:00+08,9960.449,3326.66,4437.866,5230.672
2023-10-18 13:45:00+08,9857.472,3541.016,4857.788,5591.443
2023-10-18 14:00:00+08,9044.561,3660.889,5274.658,6017.826
2023-10-18 14:15:00+08,8532.789,3537.354,5661.621,7133.847
2023-10-18 14:30:00+08,7591.055,3538.574,5660.706,7225.942
2023-10-18 14:45:00+08,6800.801,3542.725,5662.842,7228.691
2023-10-18 15:00:00+08,6692.479,3668.457,5662.842,7227.944
2023-10-18 15:15:00+08,5524.401,3667.48,5662.842,7228.313
2023-10-18 15:30:00+08,5751.423,3653.809,5463.867,7105.455
2023-10-18 15:45:00+08,5750.608,3583.252,5773.621,7015.282
2023-10-18 16:00:00+08,5447.393,3569.092,5834.656,7005.059
2023-10-18 16:15:00+08,6242.501,3561.035,5903.931,6991.574
2023-10-18 16:30:00+08,6801.955,3561.523,5907.288,6977.988
2023-10-18 16:45:00+08,7443.273,3563.232,5906.677,6959.478
2023-10-18 17:00:00+08,7733.072,3561.523,5907.593,6948.727
2023-10-18 17:15:00+08,7994.595,3562.988,5906.067,6929.762
2023-10-18 17:30:00+08,7967.509,3544.922,5906.067,6926.075
2023-10-18 17:45:00+08,7990.382,3528.564,5906.372,6921.459
2023-10-18 18:00:00+08,7865.185,3506.104,5905.762,6917.633
2023-10-18 18:15:00+08,8245.277,3484.863,5902.1,6914.688
2023-10-18 18:30:00+08,7935.548,3487.549,5905.457,6914.036
2023-10-18 18:45:00+08,8253.393,3486.816,5903.931,6915.873
2023-10-18 19:00:00+08,8106.765,3488.525,5904.541,6915.046
2023-10-18 19:15:00+08,7878.684,3483.887,5906.067,6916.017
2023-10-18 19:30:00+08,8034.529,3486.572,5903.32,6914.951
2023-10-18 19:45:00+08,7950.051,3487.305,5903.015,6914.464
2023-10-18 20:00:00+08,7831.497,3487.549,5904.236,6912.822
2023-10-18 20:15:00+08,7751.256,2986.328,5905.762,6915.413
2023-10-18 20:30:00+08,7370.271,2985.352,5901.489,6917.844
2023-10-18 20:45:00+08,7053.866,2985.107,5905.457,6923.358
2023-10-18 21:00:00+08,6458.42,2983.398,5902.71,6926.031
2023-10-18 21:15:00+08,6553.125,2977.539,5905.151,6934.058
2023-10-18 21:30:00+08,6496.445,2977.783,5903.931,6932.071
2023-10-18 21:45:00+08,6585.17,2978.76,5903.931,6932.304
2023-10-18 22:00:00+08,6387.25,2976.318,5906.677,6933.329
2023-10-18 22:15:00+08,5490.041,3477.051,5904.541,6934.905
2023-10-18 22:30:00+08,5051.549,3243.408,5647.278,6508.876
2023-10-18 22:45:00+08,4103.53,3008.789,5595.398,6092.48
2023-10-18 23:00:00+08,3416.726,2770.752,5629.272,5672.875
2023-10-18 23:15:00+08,2695.399,2532.959,5569.458,5250.674
2023-10-18 23:30:00+08,2879.317,2533.691,5229.797,5250.986
2023-10-18 23:45:00+08,3218.892,2533.936,5208.13,5249.719
2023-10-19 00:00:00+08,3556.85,2312.5,5140.076,5251.555
2023-10-19 00:15:00+08,3669.862,1711.914,5676.88,5033.184
2023-10-19 00:30:00+08,3406.404,1941.162,5750.122,4808.743
2023-10-19 00:45:00+08,3550.841,1602.783,5749.512,5310.353
2023-10-19 01:00:00+08,2706.773,2202.393,5733.643,5319.201
2023-10-19 01:15:00+08,2989.626,2202.881,5730.286,5327.508
2023-10-19 01:30:00+08,3050.479,2193.848,5762.024,5338.722
2023-10-19 01:45:00+08,2990.722,2194.092,5773.315,5347.254
2023-10-19 02:00:00+08,2719.194,2189.941,5864.258,5358.211
2023-10-19 02:15:00+08,2989.637,2176.025,5836.792,5371.771
2023-10-19 02:30:00+08,2665.378,2177.979,5838.928,5374.193
2023-10-19 02:45:00+08,2804.55,2178.955,5833.74,5372.377
2023-10-19 03:00:00+08,2616.514,2177.734,5841.064,5376.001
2023-10-19 03:15:00+08,2935.063,2177.49,5838.318,5381.958
2023-10-19 03:30:00+08,2947.108,2177.002,5851.746,5379.023
2023-10-19 03:45:00+08,2883.198,2176.514,5867.92,5379.773
2023-10-19 04:00:00+08,2679.708,2178.223,5859.985,5379.798
2023-10-19 04:15:00+08,3023.007,2176.27,5874.023,5380.039
2023-10-19 04:30:00+08,2925.819,2176.27,5885.01,5380.719
2023-10-19 04:45:00+08,3103.99,2178.711,5829.468,5380.759
2023-10-19 05:00:00+08,3613.889,1627.93,5771.484,5378.31
2023-10-19 05:15:00+08,3682.725,1626.709,5725.708,5378.999
2023-10-19 05:30:00+08,3978.215,1999.756,5776.367,5632.814
2023-10-19 05:45:00+08,4141.518,2601.318,5764.465,5962.255
2023-10-19 06:00:00+08,3860.27,3205.566,5755.005,6562.869
2023-10-19 06:15:00+08,4072.263,3440.43,5895.081,6957.928
2023-10-19 06:30:00+08,4135.973,3445.068,5895.996,6963.092
2023-10-19 06:45:00+08,4111.831,3449.707,5895.691,6965.296
2023-10-19 07:00:00+08,4208.218,3333.984,5905.762,6966.818
2023-10-19 07:15:00+08,4895.852,3149.902,5894.165,6970.715
2023-10-19 07:30:00+08,5530.75,3068.604,5903.931,6977.458
2023-10-19 07:45:00+08,6402.524,2585.938,5896.301,6985.714
2023-10-19 08:00:00+08,7369.743,2014.893,5903.931,6991.559
2023-10-19 08:15:00+08,7552.169,2488.037,5917.053,6997.51
2023-10-19 08:30:00+08,8361.356,2247.07,5857.544,7008.307
2023-10-19 08:45:00+08,8560.013,2210.938,5800.781,7016.798
2023-10-19 09:00:00+08,8756.333,2491.211,5741.882,7026.185
2023-10-19 09:15:00+08,8372.962,3088.867,5685.73,7036.862
2023-10-19 09:30:00+08,7870.505,3364.99,5715.637,6834.793
2023-10-19 09:45:00+08,8114.517,3390.625,5747.986,6636.1
2023-10-19 10:00:00+08,7398.181,3632.813,5661.621,6703.119
2023-10-19 10:15:00+08,7696.732,3553.955,5662.842,7076.544
2023-10-19 10:30:00+08,6893.72,3558.105,5242.92,7189.402
2023-10-19 10:45:00+08,6604.292,3450.439,4912.109,6683.854
2023-10-19 11:00:00+08,7413.437,3345.947,4570.618,6052.471
2023-10-19 11:15:00+08,7692.804,3247.314,3970.337,5454.396
2023-10-19 11:30:00+08,8059.025,3292.969,3970.337,5446.983
2023-10-19 11:45:00+08,8203.375,3344.482,3972.473,5293.717
2023-10-19 12:00:00+08,7995.327,3392.334,3971.863,5475.224
2023-10-19 12:15:00+08,8822.999,3369.141,3970.642,5299.147
2023-10-19 12:30:00+08,9483.979,3333.74,3971.558,5282.762
2023-10-19 12:45:00+08,9306.0,3190.674,3969.116,5131.982
2023-10-19 13:00:00+08,9847.007,3190.918,3970.947,5064.508
2023-10-19 13:15:00+08,9815.021,3371.094,3970.337,5081.598
2023-10-19 13:30:00+08,8126.677,3439.941,4390.869,5628.419
2023-10-19 13:45:00+08,8525.4,3479.98,4811.401,6222.91
2023-10-19 14:00:00+08,7400.958,3575.195,5228.577,6732.948
2023-10-19 14:15:00+08,8264.641,3496.094,5662.842,7070.381
2023-10-19 14:30:00+08,7907.28,3490.234,5663.757,7062.023
2023-10-19 14:45:00+08,7834.519,3489.746,5663.147,7052.263
2023-10-19 15:00:00+08,7161.793,3493.896,5662.842,7046.678
2023-10-19 15:15:00+08,7013.455,3610.352,5662.231,7031.97
2023-10-19 15:30:00+08,6755.228,3595.703,5718.689,7025.982
2023-10-19 15:45:00+08,6795.684,3637.207,5541.382,7219.091
2023-10-19 16:00:00+08,6134.052,3624.268,5640.259,7160.996
2023-10-19 16:15:00+08,6226.145,3611.816,5747.375,7100.735
2023-10-19 16:30:00+08,6778.896,3560.547,5893.25,6976.431
2023-10-19 16:45:00+08,7217.422,3561.035,5893.86,6958.806
2023-10-19 17:00:00+08,7778.707,3559.814,5894.165,6946.093
2023-10-19 17:15:00+08,8053.03,3562.012,5892.029,6927.594
2023-10-19 17:30:00+08,7975.47,3544.678,5894.165,6924.122
2023-10-19 17:45:00+08,8574.979,2977.783,5892.944,6923.985
2023-10-19 18:00:00+08,9454.284,2079.59,5894.47,6910.108
2023-10-19 18:15:00+08,9996.563,1749.512,5909.424,6915.734
2023-10-19 18:30:00+08,9973.106,1689.697,5975.952,6913.667
2023-10-19 18:45:00+08,9523.675,1686.035,5978.394,6914.489
2023-10-19 19:00:00+08,9401.959,1677.002,5986.328,6914.081
2023-10-19 19:15:00+08,9766.656,1680.664,5984.497,6914.185
2023-10-19 19:30:00+08,9637.429,1678.467,5983.276,6914.453
2023-10-19 19:45:00+08,9873.419,1671.631,5993.652,6912.203
2023-10-19 20:00:00+08,9886.605,1650.635,6018.066,6913.084
2023-10-19 20:15:00+08,9189.978,1820.557,5892.639,6913.848
2023-10-19 20:30:00+08,8633.381,1767.578,5894.47,6918.54
2023-10-19 20:45:00+08,8086.506,1766.357,5896.606,6924.432
2023-10-19 21:00:00+08,7675.384,1765.137,5895.996,6925.437
2023-10-19 21:15:00+08,7688.053,1758.545,5891.724,6930.678
2023-10-19 21:30:00+08,7898.442,1710.693,5892.029,6934.619
2023-10-19 21:45:00+08,7767.569,1663.818,5893.555,6933.564
2023-10-19 22:00:00+08,7655.744,1649.414,5894.47,6899.352
2023-10-19 22:15:00+08,6396.257,2751.953,5893.25,6932.77
2023-10-19 22:30:00+08,5731.81,2779.297,5512.39,6512.009
2023-10-19 22:45:00+08,4901.524,2757.08,5131.531,6093.729
2023-10-19 23:00:00+08,4215.191,2346.436,4830.627,5673.4
2023-10-19 23:15:00+08,4883.12,1747.559,4441.833,5076.287
2023-10-19 23:30:00+08,5052.364,1481.201,4428.101,5251.273
2023-10-19 23:45:00+08,4948.041,1483.398,4378.052,5251.837
2023-10-20 00:00:00+08,4494.915,1935.059,4953.003,4805.625
2023-10-20 00:15:00+08,3983.298,1663.818,5276.184,5152.663
2023-10-20 00:30:00+08,3680.277,2253.662,5080.261,5159.294
2023-10-20 00:45:00+08,3373.959,2467.041,5036.011,5165.722
2023-10-20 01:00:00+08,3622.707,2408.203,4969.177,5173.763
2023-10-20 01:15:00+08,3650.866,2483.887,4963.989,5180.877
2023-10-20 01:30:00+08,3606.304,2436.523,4927.673,5191.345
2023-10-20 01:45:00+08,3258.397,2521.973,4877.319,5202.023
2023-10-20 02:00:00+08,3553.263,2519.043,4857.178,5212.196
2023-10-20 02:15:00+08,3582.875,2510.01,4837.646,5225.684
2023-10-20 02:30:00+08,3793.398,2509.521,4807.129,5227.254
2023-10-20 02:45:00+08,3436.928,2509.033,4845.276,5227.875
2023-10-20 03:00:00+08,3764.913,2510.01,4785.767,5229.25
2023-10-20 03:15:00+08,3689.852,2509.521,4803.162,5233.686
2023-10-20 03:30:00+08,3887.613,2510.498,4806.213,5233.657
2023-10-20 03:45:00+08,3974.053,2509.033,4816.589,5233.954
2023-10-20 04:00:00+08,3717.883,2508.789,4796.753,5234.607
2023-10-20 04:15:00+08,3680.353,2508.545,4785.156,5233.271
2023-10-20 04:30:00+08,3921.196,2510.01,4864.502,5232.982
2023-10-20 04:45:00+08,3728.548,2509.766,4874.573,5234.209
2023-10-20 05:00:00+08,3563.185,2509.521,4880.066,5233.793
2023-10-20 05:15:00+08,4003.565,2510.254,4815.979,5234.131
2023-10-20 05:30:00+08,3923.851,2739.99,5133.057,5610.784
2023-10-20 05:45:00+08,3782.236,2971.191,5516.357,5989.27
2023-10-20 06:00:00+08,3829.58,3204.102,5833.13,6367.825
2023-10-20 06:15:00+08,4131.744,3441.162,6205.75,6749.142
2023-10-20 06:30:00+08,4142.156,3446.533,6205.75,6755.882
2023-10-20 06:45:00+08,3996.885,3451.172,6204.224,6754.378
2023-10-20 07:00:00+08,4146.625,3453.125,6201.172,6757.883
2023-10-20 07:15:00+08,4709.927,3460.449,6208.496,6759.701
2023-10-20 07:30:00+08,5261.153,3464.111,6204.224,6764.964
2023-10-20 07:45:00+08,5509.6,3477.295,6204.529,6773.416
2023-10-20 08:00:00+08,6003.418,3484.375,6201.172,6761.473
2023-10-20 08:15:00+08,6363.454,3495.85,6204.224,6759.936
2023-10-20 08:30:00+08,6715.399,3505.859,6122.742,6799.406
2023-10-20 08:45:00+08,7635.296,3498.047,6044.006,6808.858
2023-10-20 09:00:00+08,7961.708,3530.029,5961.304,6815.542
2023-10-20 09:15:00+08,7971.927,3540.771,5878.601,6826.376
2023-10-20 09:30:00+08,7898.141,3532.227,5880.127,6628.085
2023-10-20 09:45:00+08,8005.519,3523.193,5875.854,6426.858
2023-10-20 10:00:00+08,7838.246,3596.924,5875.244,6226.332
2023-10-20 10:15:00+08,7862.844,3393.066,5877.38,6866.813
2023-10-20 10:30:00+08,7986.806,3375.488,5444.946,6257.146
2023-10-20 10:45:00+08,7371.587,3288.33,5008.85,5648.271
2023-10-20 11:00:00+08,7666.396,3135.498,4572.754,5040.066
2023-10-20 11:15:00+08,6534.001,3008.301,4125.977,4758.028
2023-10-20 11:30:00+08,6005.176,3330.322,4126.282,4774.954
2023-10-20 11:45:00+08,5399.808,3346.191,4125.366,4761.074
2023-10-20 12:00:00+08,4725.819,3359.619,4126.587,4761.437
2023-10-20 12:15:00+08,4968.092,2897.705,4125.977,4761.056
2023-10-20 12:30:00+08,5196.253,2910.4,4125.366,4759.338
2023-10-20 12:45:00+08,5339.036,2891.113,4122.62,4758.418
2023-10-20 13:00:00+08,5323.708,2880.615,4126.587,4756.011
2023-10-20 13:15:00+08,4931.321,2931.885,4125.671,4752.788
2023-10-20 13:30:00+08,5210.196,3113.525,4559.631,5352.856
2023-10-20 13:45:00+08,5209.339,3212.158,4994.202,5949.415
2023-10-20 14:00:00+08,5198.699,3284.18,5430.603,6090.387
2023-10-20 14:15:00+08,5614.058,3611.084,5879.517,6860.734
2023-10-20 14:30:00+08,5811.952,3608.398,5877.075,6851.969
2023-10-20 14:45:00+08,5430.411,3607.178,5877.686,6843.915
2023-10-20 15:00:00+08,5567.576,3606.445,5877.991,6839.428
2023-10-20 15:15:00+08,5987.665,3605.713,5878.906,6827.933
2023-10-20 15:30:00+08,5476.621,3596.68,5957.947,6816.832
2023-10-20 15:45:00+08,5345.395,3580.322,6040.344,6806.627
2023-10-20 16:00:00+08,5355.772,3564.697,6120.911,6794.603
2023-10-20 16:15:00+08,6445.796,3557.617,6190.491,6779.75
2023-10-20 16:30:00+08,6674.594,3559.57,6203.308,6715.091
2023-10-20 16:45:00+08,7201.947,3561.768,6200.867,6715.567
2023-10-20 17:00:00+08,7741.554,3481.201,6200.562,6714.702
2023-10-20 17:15:00+08,8056.93,3563.721,6201.782,6715.127
2023-10-20 17:30:00+08,7717.462,3547.607,6203.003,6716.093
2023-10-20 17:45:00+08,7938.262,3524.658,6201.782,6713.28
2023-10-20 18:00:00+08,7838.836,3505.859,6203.918,6708.45
2023-10-20 18:15:00+08,7925.625,3485.596,6206.055,6704.741
2023-10-20 18:30:00+08,7919.99,3486.328,6203.003,6702.896
2023-10-20 18:45:00+08,8235.885,3486.328,6202.087,6705.034
2023-10-20 19:00:00+08,8081.673,3488.77,6205.75,6705.544
2023-10-20 19:15:00+08,8023.725,3487.549,6205.139,6703.573
2023-10-20 19:30:00+08,7925.037,3489.99,6204.834,6702.924
2023-10-20 19:45:00+08,7993.803,3487.305,6203.308,6703.929
2023-10-20 20:00:00+08,7908.729,3487.061,6201.477,6703.744
2023-10-20 20:15:00+08,7569.163,3487.305,6200.867,6702.461
2023-10-20 20:30:00+08,7048.828,3484.619,6203.308,6706.677
2023-10-20 20:45:00+08,6471.053,3486.084,6202.087,6711.484
2023-10-20 21:00:00+08,5995.347,3484.131,6202.393,6716.371
2023-10-20 21:15:00+08,5790.814,3479.492,6201.782,6722.89
2023-10-20 21:30:00+08,6072.469,3478.76,6205.444,6724.604
2023-10-20 21:45:00+08,6031.769,3477.539,6201.782,6723.538
2023-10-20 22:00:00+08,5851.255,3478.027,6202.087,6721.263
2023-10-20 22:15:00+08,6587.325,2877.93,6264.343,6122.436
2023-10-20 22:30:00+08,6623.867,2275.635,5899.353,5707.28
2023-10-20 22:45:00+08,6320.11,1676.025,5570.984,5439.597
2023-10-20 23:00:00+08,5644.907,1073.73,5565.491,5099.498
2023-10-20 23:15:00+08,5043.097,473.389,5494.69,5049.581
2023-10-20 23:30:00+08,5301.535,733.887,5499.878,4790.199
2023-10-20 23:45:00+08,5539.923,1333.74,5431.519,4194.675
2023-10-21 00:00:00+08,4533.278,1934.57,5325.012,4505.343
2023-10-21 00:15:00+08,3383.526,2605.469,5126.038,4949.557
2023-10-21 00:30:00+08,3322.231,2605.957,5062.866,4948.901
2023-10-21 00:45:00+08,3520.851,2603.76,5050.659,4948.404
2023-10-21 01:00:00+08,3600.099,2602.295,5088.806,4947.027
2023-10-21 01:15:00+08,3577.696,2595.947,5072.021,4945.146
2023-10-21 01:30:00+08,3524.158,2595.459,5046.387,4946.162
2023-10-21 01:45:00+08,3523.168,2596.436,5281.982,4945.21
2023-10-21 02:00:00+08,3321.845,2597.412,5222.473,4946.047
2023-10-21 02:15:00+08,3352.897,2596.436,5178.223,4946.146
2023-10-21 02:30:00+08,3376.584,2595.215,5159.302,4945.883
2023-10-21 02:45:00+08,3594.506,2596.436,5112.305,4945.78
2023-10-21 03:00:00+08,3682.069,2596.191,5073.853,4945.937
