时间,华北来电(MW),银东直流(MW),鲁固直流(MW),昭沂直流(MW)
2023-10-01 22:45:00+08,4897.171,1726.074,2042.236,2988.282
2023-10-01 23:00:00+08,4170.275,1576.172,1865.54,2659.593
2023-10-01 23:15:00+08,4161.849,1460.938,1678.162,2325.444
2023-10-01 23:30:00+08,4442.747,1401.367,1678.162,2325.23
2023-10-01 23:45:00+08,4479.219,1401.367,1678.162,2325.313
2023-10-02 00:00:00+08,4472.76,1405.518,1677.551,2325.352
2023-10-02 00:15:00+08,4158.106,1453.857,1678.772,2329.774
2023-10-02 00:30:00+08,4456.466,1453.125,1678.162,2328.021
2023-10-02 00:45:00+08,4060.371,1453.369,1678.162,2327.435
2023-10-02 01:00:00+08,4268.153,1452.881,1678.162,2326.5
2023-10-02 01:15:00+08,4227.243,1453.369,1677.246,2325.476
2023-10-02 01:30:00+08,4536.215,1453.125,1677.551,2325.281
2023-10-02 01:45:00+08,4401.045,1454.102,1678.467,2325.378
2023-10-02 02:00:00+08,4238.025,1454.834,1677.246,2325.413
2023-10-02 02:15:00+08,4378.335,1452.637,1678.467,2325.75
2023-10-02 02:30:00+08,4240.493,1452.637,1678.467,2325.509
2023-10-02 02:45:00+08,4485.895,1452.393,1677.856,2325.254
2023-10-02 03:00:00+08,4244.38,1453.369,1678.162,2325.517
2023-10-02 03:15:00+08,4348.643,1452.393,1678.467,2325.664
2023-10-02 03:30:00+08,4360.952,1453.857,1678.162,2325.22
2023-10-02 03:45:00+08,4229.258,1453.613,1678.162,2325.385
2023-10-02 04:00:00+08,4186.88,1451.66,1678.467,2325.95
2023-10-02 04:15:00+08,4394.505,1454.102,1678.162,2325.578
2023-10-02 04:30:00+08,4310.75,1454.102,1678.162,2325.58
2023-10-02 04:45:00+08,4381.902,1453.369,1678.162,2325.503
2023-10-02 05:00:00+08,4430.776,1452.637,1677.246,2325.453
2023-10-02 05:15:00+08,4375.826,1453.613,1678.162,2325.34
2023-10-02 05:30:00+08,4176.653,1606.934,1855.774,2655.276
2023-10-02 05:45:00+08,4152.773,1760.498,2035.522,2984.423
2023-10-02 06:00:00+08,4319.131,1917.725,2213.44,3314.141
2023-10-02 06:15:00+08,4294.287,2076.172,2397.766,3648.7
2023-10-02 06:30:00+08,3902.777,2076.172,2397.156,3652.254
2023-10-02 06:45:00+08,4154.671,2075.439,2397.156,3656.64
2023-10-02 07:00:00+08,3942.516,2075.195,2397.156,3661.11
2023-10-02 07:15:00+08,4681.151,2073.486,2398.376,3665.403
2023-10-02 07:30:00+08,5272.145,1911.865,2396.545,3676.757
2023-10-02 07:45:00+08,6008.04,1912.842,2397.156,3686.81
2023-10-02 08:00:00+08,6381.065,1905.273,2397.461,3698.742
2023-10-02 08:15:00+08,6706.343,1942.383,2396.851,3708.458
2023-10-02 08:30:00+08,7479.46,1998.779,2396.851,3719.994
2023-10-02 08:45:00+08,8038.808,1915.527,2395.325,3730.364
2023-10-02 09:00:00+08,8235.176,1923.828,2393.799,3741.082
2023-10-02 09:15:00+08,8020.001,2118.164,2397.156,3753.773
2023-10-02 09:30:00+08,7863.774,2114.014,2396.851,3759.608
2023-10-02 09:45:00+08,8254.863,1927.002,2396.851,3765.372
2023-10-02 10:00:00+08,8248.498,2141.357,2397.156,3770.688
2023-10-02 10:15:00+08,8382.871,2139.16,2395.935,3779.171
2023-10-02 10:30:00+08,8039.625,1994.629,2220.154,3453.212
2023-10-02 10:45:00+08,7982.989,1853.516,2044.373,3125.174
2023-10-02 11:00:00+08,8160.783,1745.85,1866.455,2798.339
2023-10-02 11:15:00+08,7226.099,1762.939,1678.467,2467.861
2023-10-02 11:30:00+08,6562.824,1923.34,1677.856,2469.151
2023-10-02 11:45:00+08,6177.43,2073.486,1678.772,2469.443
2023-10-02 12:00:00+08,5656.827,2175.537,1678.162,2471.401
2023-10-02 12:15:00+08,5250.328,1772.949,1677.856,3353.268
2023-10-02 12:30:00+08,5252.584,2338.623,1678.162,2816.927
2023-10-02 12:45:00+08,4949.755,2349.121,1677.856,2848.385
2023-10-02 13:00:00+08,4868.49,2325.439,1678.772,2893.957
2023-10-02 13:15:00+08,4769.686,2333.496,1678.772,2917.866
2023-10-02 13:30:00+08,4703.942,2470.947,1678.162,3310.981
2023-10-02 13:45:00+08,4605.702,2453.369,2029.114,3818.063
2023-10-02 14:00:00+08,4583.628,2445.801,2209.778,4300.288
2023-10-02 14:15:00+08,5170.701,2376.221,2396.24,4608.777
2023-10-02 14:30:00+08,5364.767,2305.908,2396.24,4569.408
2023-10-02 14:45:00+08,5222.362,2307.129,2398.987,4420.967
2023-10-02 15:00:00+08,5271.195,2244.385,2397.766,4349.834
2023-10-02 15:15:00+08,5349.957,2344.971,2397.156,4565.884
2023-10-02 15:30:00+08,4948.239,2330.322,2397.156,4743.062
2023-10-02 15:45:00+08,5138.58,2305.664,2276.306,4684.968
2023-10-02 16:00:00+08,4821.811,2308.35,2397.156,4740.029
2023-10-02 16:15:00+08,5679.867,2300.537,2397.461,4310.467
2023-10-02 16:30:00+08,6576.862,2238.77,2397.156,4110.893
2023-10-02 16:45:00+08,7367.605,2225.83,2397.766,3683.985
2023-10-02 17:00:00+08,7890.811,2190.674,2396.24,3674.202
2023-10-02 17:15:00+08,8005.525,2195.557,2396.851,3661.333
2023-10-02 17:30:00+08,7875.813,2173.828,2398.376,3658.504
2023-10-02 17:45:00+08,8116.523,2151.367,2399.597,3657.218
2023-10-02 18:00:00+08,8105.769,2127.441,2399.902,3652.254
2023-10-02 18:15:00+08,7961.331,2105.469,2396.851,3647.561
2023-10-02 18:30:00+08,8085.519,2111.084,2397.766,3647.803
2023-10-02 18:45:00+08,8272.22,2117.92,2397.461,3647.155
2023-10-02 19:00:00+08,8264.64,1967.773,2397.461,3648.203
2023-10-02 19:15:00+08,8344.504,2037.598,2397.156,3646.801
2023-10-02 19:30:00+08,8412.009,1823.242,2397.461,3647.573
2023-10-02 19:45:00+08,8487.744,1780.762,2397.156,3647.83
2023-10-02 20:00:00+08,8442.306,1864.258,2397.156,3647.552
2023-10-02 20:15:00+08,8364.571,1531.006,2397.766,3647.832
2023-10-02 20:30:00+08,7616.179,1614.746,2397.156,3647.611
2023-10-02 20:45:00+08,7247.812,1653.076,2397.156,3647.939
2023-10-02 21:00:00+08,6762.647,1604.248,2397.156,3647.713
2023-10-02 21:15:00+08,7957.294,705.322,2398.376,3480.196
2023-10-02 21:30:00+08,7153.211,1131.348,2398.376,3647.852
2023-10-02 21:45:00+08,6827.311,1512.939,2398.376,3648.294
2023-10-02 22:00:00+08,6699.958,1550.049,2397.766,3647.976
2023-10-02 22:15:00+08,5871.795,1822.266,2397.461,3648.159
2023-10-02 22:30:00+08,5615.959,1663.574,2218.933,3220.73
2023-10-02 22:45:00+08,5375.505,1147.949,2042.542,2881.361
2023-10-02 23:00:00+08,4961.595,1068.604,1861.572,2469.238
2023-10-02 23:15:00+08,4840.338,1130.615,1677.856,1913.762
2023-10-02 23:30:00+08,5177.618,1130.127,1677.856,1916.549
2023-10-02 23:45:00+08,5187.907,1200.195,1677.856,1863.351
2023-10-03 00:00:00+08,5010.391,886.963,1677.856,2324.937
2023-10-03 00:15:00+08,4320.129,1452.881,1677.856,2329.963
2023-10-03 00:30:00+08,4360.585,1453.857,1678.772,2328.575
2023-10-03 00:45:00+08,4081.65,1453.613,1678.467,2327.683
2023-10-03 01:00:00+08,4086.566,1453.613,1678.162,2326.196
2023-10-03 01:15:00+08,4217.563,1454.102,1678.772,2325.569
2023-10-03 01:30:00+08,4294.68,1452.637,1678.162,2325.435
2023-10-03 01:45:00+08,3904.984,1454.59,1678.772,2325.228
2023-10-03 02:00:00+08,4074.765,1453.369,1677.551,2325.464
2023-10-03 02:15:00+08,4182.711,1453.613,1677.856,2325.744
2023-10-03 02:30:00+08,4309.16,1452.881,1677.856,2325.58
2023-10-03 02:45:00+08,4241.471,1453.369,1678.467,2324.944
2023-10-03 03:00:00+08,4285.336,1451.904,1678.467,2325.951
2023-10-03 03:15:00+08,4191.47,1453.125,1677.856,2325.076
2023-10-03 03:30:00+08,4293.257,1452.148,1677.551,2324.768
2023-10-03 03:45:00+08,4135.681,1452.393,1677.856,2325.421
2023-10-03 04:00:00+08,4239.096,1452.881,1677.856,2325.633
2023-10-03 04:15:00+08,4097.49,1452.881,1677.856,2325.026
2023-10-03 04:30:00+08,4265.024,1452.393,1677.856,2325.818
2023-10-03 04:45:00+08,4195.646,1452.637,1677.551,2325.173
2023-10-03 05:00:00+08,4282.191,1452.881,1677.856,2324.882
2023-10-03 05:15:00+08,3734.761,1453.857,1678.467,2324.715
2023-10-03 05:30:00+08,4197.074,1607.666,1855.469,2655.593
2023-10-03 05:45:00+08,4050.332,1760.254,2034.912,2983.982
2023-10-03 06:00:00+08,4229.46,1916.016,2213.44,3314.128
2023-10-03 06:15:00+08,4421.111,2074.951,2397.461,3649.563
2023-10-03 06:30:00+08,3952.111,2075.684,2397.461,3653.381
2023-10-03 06:45:00+08,4431.258,2075.439,2397.461,3655.914
2023-10-03 07:00:00+08,4103.049,2077.637,2397.461,3661.042
2023-10-03 07:15:00+08,5241.574,1824.951,2397.461,3664.989
2023-10-03 07:30:00+08,5891.791,1343.75,2397.766,3676.271
2023-10-03 07:45:00+08,6136.807,1695.068,2397.461,3686.956
2023-10-03 08:00:00+08,6383.704,1829.346,2397.156,3698.168
2023-10-03 08:15:00+08,7188.213,1559.57,2396.24,3710.136
2023-10-03 08:30:00+08,7640.538,1574.951,2396.24,3719.999
2023-10-03 08:45:00+08,8425.336,1704.59,2394.714,3729.415
2023-10-03 09:00:00+08,8674.756,1960.693,2395.02,3739.575
2023-10-03 09:15:00+08,8972.902,2018.311,2396.24,3753.268
2023-10-03 09:30:00+08,9085.356,2015.381,2397.156,3759.75
2023-10-03 09:45:00+08,8761.299,2008.789,2397.156,3765.555
2023-10-03 10:00:00+08,8046.605,2260.986,2396.545,3770.261
2023-10-03 10:15:00+08,7636.677,2536.377,2397.461,3883.702
2023-10-03 10:30:00+08,7513.666,2506.592,2220.459,3451.782
2023-10-03 10:45:00+08,7814.351,2369.385,2044.067,3123.603
2023-10-03 11:00:00+08,7888.206,2188.477,1867.981,2797.893
2023-10-03 11:15:00+08,7423.92,2093.75,1677.551,2467.662
2023-10-03 11:30:00+08,7596.824,2109.375,1678.467,2468.968
2023-10-03 11:45:00+08,7874.001,2108.398,1678.162,2469.898
2023-10-03 12:00:00+08,7835.68,2138.184,1678.467,2470.341
2023-10-03 12:15:00+08,6319.068,1550.537,1678.467,2472.005
2023-10-03 12:30:00+08,6514.214,1556.152,1676.941,2469.624
2023-10-03 12:45:00+08,6100.124,1560.303,1677.551,2467.991
2023-10-03 13:00:00+08,6308.653,1562.012,1678.467,2465.601
2023-10-03 13:15:00+08,6129.396,1562.256,1677.856,2461.453
2023-10-03 13:30:00+08,5883.78,1716.797,1855.469,2789.191
2023-10-03 13:45:00+08,6144.715,1869.385,2033.081,3116.758
2023-10-03 14:00:00+08,5915.6,2025.879,2210.388,3444.648
2023-10-03 14:15:00+08,6128.563,2041.26,2397.156,3773.244
2023-10-03 14:30:00+08,5524.546,2109.619,3303.833,3767.084
2023-10-03 14:45:00+08,5061.441,2184.326,3400.269,3760.809
2023-10-03 15:00:00+08,5948.143,1816.162,3048.706,3752.174
2023-10-03 15:15:00+08,5450.988,2186.035,2897.949,3742.727
2023-10-03 15:30:00+08,5617.971,2185.059,2897.644,3734.955
2023-10-03 15:45:00+08,5719.56,2186.523,2898.56,3725.575
2023-10-03 16:00:00+08,5589.206,2185.059,2897.644,3715.165
2023-10-03 16:15:00+08,6582.402,2190.674,2396.24,3703.841
2023-10-03 16:30:00+08,6793.798,2190.674,2397.156,3693.441
2023-10-03 16:45:00+08,7546.035,2192.627,2397.156,3683.49
2023-10-03 17:00:00+08,7983.674,2100.342,2397.766,3673.689
2023-10-03 17:15:00+08,8303.695,2113.281,2397.766,3661.251
2023-10-03 17:30:00+08,7742.749,2091.553,2398.987,3658.896
2023-10-03 17:45:00+08,8219.439,2067.871,2399.292,3656.41
2023-10-03 18:00:00+08,8261.508,2128.418,2399.902,3653.125
2023-10-03 18:15:00+08,7925.811,2105.225,2397.461,3647.615
2023-10-03 18:30:00+08,8007.448,2112.793,2397.766,3648.559
2023-10-03 18:45:00+08,8243.575,2119.385,2397.766,3648.06
2023-10-03 19:00:00+08,8105.307,2129.15,2397.766,3646.692
2023-10-03 19:15:00+08,8151.553,2140.381,2396.545,3647.326
2023-10-03 19:30:00+08,8111.441,2133.057,2396.24,3648.209
2023-10-03 19:45:00+08,8322.575,2126.221,2399.292,3648.101
2023-10-03 20:00:00+08,7936.565,2117.432,2397.461,3647.703
2023-10-03 20:15:00+08,8050.657,2105.469,2397.766,3648.275
2023-10-03 20:30:00+08,7151.189,2107.178,2396.851,3648.521
2023-10-03 20:45:00+08,6692.588,2103.76,2396.24,3648.046
2023-10-03 21:00:00+08,5966.82,2104.248,2398.071,3647.174
2023-10-03 21:15:00+08,6486.937,1948.242,2397.766,3648.83
2023-10-03 21:30:00+08,6358.292,1948.486,2397.156,3648.813
2023-10-03 21:45:00+08,6255.35,1880.615,2397.156,3648.011
2023-10-03 22:00:00+08,6394.528,1712.402,2396.24,3647.622
2023-10-03 22:15:00+08,6329.307,1544.678,2396.545,3648.785
2023-10-03 22:30:00+08,5779.377,1322.754,2220.154,3317.853
2023-10-03 22:45:00+08,5517.133,1099.854,2042.542,2987.959
2023-10-03 23:00:00+08,4559.961,1396.24,1864.929,2659.038
2023-10-03 23:15:00+08,4465.662,1200.684,1679.382,2325.797
2023-10-03 23:30:00+08,4535.173,1200.684,1678.772,2325.285
2023-10-03 23:45:00+08,4640.463,1047.363,1678.772,2325.709
2023-10-04 00:00:00+08,4841.146,890.869,1677.856,2325.723
